mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.48722167015075685,0.01732068978330127,0.02570786476135254,0.006864354137699466,0.6,0.1,5,600,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5263157894736842,0.47368421052631576,0.5789473684210527,0.6216216216216216,0.5401137980085348,0.053598439201867035,11
0.6061571598052978,0.02994417803444762,0.025585222244262695,0.006528569582211776,0.6,0.1,5,600,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5,0.5263157894736842,0.5,0.5789473684210527,0.6216216216216216,0.5453769559032716,0.047794740227075756,2
0.5376013278961181,0.008237991500234451,0.01680169105529785,0.0014066954190102238,0.6,0.1,5,600,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5789473684210527,0.5675675675675675,0.5240398293029871,0.044690174602239424,59
0.7006670475006104,0.029102260021777977,0.021093034744262697,0.0038544368332263457,0.6,0.1,5,600,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.47368421052631576,0.5526315789473685,0.4473684210526316,0.47368421052631576,0.5945945945945946,0.5083926031294452,0.05571564618005707,87
0.16249361038208007,0.010855162998355308,0.01890249252319336,0.003379708467418294,1.0,0.03,2,200,1.0,0.6,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5789473684210527,0.4473684210526316,0.5263157894736842,0.5675675675675675,0.5240398293029872,0.04768878291829172,56
0.15738778114318847,0.0083489735676423,0.019655799865722655,0.0032180148930524314,1.0,0.03,2,200,1.0,1.0,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.47368421052631576,0.5789473684210527,0.47368421052631576,0.5526315789473685,0.5675675675675675,0.5293029871977241,0.04617328779239563,39
0.14845685958862304,0.008746083787040265,0.018071365356445313,0.002931808581468948,1.0,0.03,2,200,10.0,0.6,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5263157894736842,0.5789473684210527,0.5,0.47368421052631576,0.6216216216216216,0.5401137980085349,0.053598439201867035,7
0.14941911697387694,0.0038064418077995215,0.019976186752319335,0.004961218589077756,1.0,0.03,2,200,10.0,1.0,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5,0.5526315789473685,0.5,0.5,0.5405405405405406,0.5186344238975819,0.023140482967468304,75
0.3454537868499756,0.009602864254555412,0.024918222427368165,0.007651730682827037,1.0,0.03,2,600,1.0,0.6,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.47368421052631576,0.5789473684210527,0.42105263157894735,0.5526315789473685,0.5675675675675675,0.5187766714082503,0.06120545250296899,68
0.33707780838012696,0.01115326376776763,0.02550477981567383,0.01363673332486717,1.0,0.03,2,600,1.0,1.0,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5,0.631578947368421,0.4473684210526316,0.5,0.5945945945945946,0.5347083926031295,0.06783491318506368,22
