affinity,type,d1,d2,d3,d4,ds1,ds2,a1,a2,a3,a4,as1,as2,outcome,rank
indoor,atk,marina,tshiroko,shun,haruka,sayane,sshiroko,haruka,marina,hoshino,tshiroko,sayane,sshiroko,0,102.0
indoor,atk,marina,tshiroko,shun,haruka,sayane,sshiroko,tshiroko,marina,hoshino,shun,sayane,sshiroko,0,102.0
indoor,atk,shun,hoshino,marina,tshiroko,nagisa,sshiroko,tshiroko,haruka,hoshino,marina,sayane,sshiroko,0,102.0
indoor,atk,shun,hoshino,marina,tshiroko,nagisa,sshiroko,tshiroko,marina,hoshino,haruka,sayane,sshiroko,0,102.0
indoor,atk,shun,hoshino,marina,tshiroko,nagisa,sshiroko,haruka,tshiroko,hoshino,marina,sayane,sshiroko,0,102.0
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,shun,tshiroko,hoshino,hibiki,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,sumire,shun,tshiroko,iori,utaha,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,tsubaki,shun,reisa,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,miyako,tshiroko,hoshino,sayane,sshiroko,1,
indoor,atk,shun,hoshino,tshiroko,iori,minori,sshiroko,tshiroko,marina,hoshino,shun,sayane,sshiroko,0,131.0
indoor,atk,reisa,shun,tshiroko,iori,nagisa,sshiroko,marina,tshiroko,hoshino,shun,sayane,sshiroko,1,91.0
indoor,atk,marina,shun,tshiroko,hoshino,nagisa,sshiroko,tshiroko,hoshino,marina,shun,sayane,sshiroko,1,65.0
indoor,atk,hoshino,tshiroko,marina,shun,nagisa,sshiroko,marina,shun,tshiroko,hoshino,sayane,sshiroko,0,65.0
indoor,atk,marina,tshiroko,shun,hoshino,minori,sshiroko,marina,tshiroko,shun,hoshino,sayane,sshiroko,1,45.0
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,hoshino,shun,tshiroko,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,haruka,tshiroko,hoshino,reisa,sayane,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,marina,hoshino,iori,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,shun,iori,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,haruka,nyharuna,shun,tshiroko,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,haruka,nyharuna,shun,tshiroko,nagisa,sshiroko,1,
indoor,atk,shun,hoshino,tshiroko,marina,nagisa,sshiroko,hoshino,tshiroko,shun,marina,sayane,sshiroko,1,56.0
indoor,atk,marina,iori,shun,tshiroko,rio,sshiroko,tshiroko,hoshino,shun,marina,sayane,sshiroko,0,56.0
indoor,atk,marina,iori,shun,tshiroko,rio,sshiroko,tshiroko,marina,shun,hoshino,sayane,sshiroko,0,56.0
indoor,atk,marina,iori,shun,tshiroko,rio,sshiroko,marina,tshiroko,hoshino,shun,sayane,sshiroko,1,39.0
indoor,atk,tshiroko,iori,shun,marina,nagisa,sshiroko,hoshino,tshiroko,shun,marina,sayane,sshiroko,1,28.0
indoor,def,hoshino,shun,tshiroko,marina,sayane,sshiroko,iori,hoshino,tshiroko,haruka,nagisa,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,reisa,haruka,sayane,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,iori,haruka,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,iori,haruka,tshiroko,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,iori,marina,shun,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,shun,iori,tshiroko,nagisa,sshiroko,1,
indoor,atk,hoshino,shanako,shun,tshiroko,hibiki,sshiroko,iori,marina,hoshino,tshiroko,sayane,sshiroko,1,59.0
indoor,atk,reisa,iori,tshiroko,hoshino,nyserika,sshiroko,iori,marina,hoshino,tshiroko,sayane,sshiroko,0,59.0
indoor,atk,tshiroko,hoshino,shun,iori,hibiki,sshiroko,hoshino,tshiroko,iori,marina,sayane,sshiroko,1,41.0
indoor,atk,reisa,tshiroko,marina,nymutsuki,sayane,sshiroko,iori,marina,hoshino,tshiroko,sayane,sshiroko,0,41.0
indoor,atk,marina,tshiroko,shun,haruka,sayane,sshiroko,tshiroko,hoshino,marina,iori,sayane,sshiroko,0,41.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,shun,tshiroko,reisa,hibiki,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,marina,iori,nagisa,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,shun,marina,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,marina,tshiroko,hoshino,haruka,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,shun,marina,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,reisa,marina,iori,sayane,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,marina,tshiroko,shun,sayane,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,shun,iori,hoshino,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,iori,miyako,tshiroko,nagisa,sshiroko,1,
indoor,atk,shun,hoshino,tshiroko,iori,hibiki,sshiroko,tshiroko,hoshino,marina,iori,sayane,sshiroko,0,85.0
indoor,atk,shun,marina,hoshino,iori,sayane,sshiroko,tshiroko,hoshino,marina,iori,sayane,sshiroko,0,85.0
