mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2107008934020996,0.009712034685236718,0.04871830940246582,0.002265593302214435,,,sqrt,12,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 12, 'clf__n_estimators': 100}",0.4418604651162791,0.5116279069767442,0.5476190476190477,0.6190476190476191,0.6190476190476191,0.5478405315614618,0.06735588516929801,120
0.3604668140411377,0.01158832944144475,0.06277518272399903,0.0055585857770038966,,,sqrt,12,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 12, 'clf__n_estimators': 200}",0.4883720930232558,0.5116279069767442,0.5476190476190477,0.6666666666666666,0.5952380952380952,0.5619047619047619,0.06360041661403913,40
0.5660830020904541,0.03291215696121747,0.06436772346496582,0.004537664681691144,,,sqrt,12,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 12, 'clf__n_estimators': 300}",0.4883720930232558,0.5116279069767442,0.5476190476190477,0.6666666666666666,0.5952380952380952,0.5619047619047619,0.06360041661403913,40
0.706995964050293,0.03355659688999152,0.09308805465698242,0.0098712879451335,,,sqrt,12,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 12, 'clf__n_estimators': 400}",0.4418604651162791,0.5116279069767442,0.5476190476190477,0.6666666666666666,0.5714285714285714,0.5478405315614617,0.07378241487914113,130
0.9821609497070313,0.06284555155789302,0.11860833168029786,0.005144985728103683,,,sqrt,12,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 12, 'clf__n_estimators': 500}",0.4418604651162791,0.5116279069767442,0.5476190476190477,0.6428571428571429,0.5714285714285714,0.543078626799557,0.0663541273475214,174
0.25835094451904295,0.02642521939987435,0.05944695472717285,0.007954449592224631,,,0.25,5,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.4418604651162791,0.4883720930232558,0.5476190476190477,0.5238095238095238,0.5238095238095238,0.505094130675526,0.03684297339975762,420
0.6131475448608399,0.05373708090739211,0.0755995750427246,0.008376253687942821,,,0.25,5,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 200}",0.4186046511627907,0.46511627906976744,0.5,0.5476190476190477,0.5714285714285714,0.5005537098560355,0.05515461601301859,424
0.9312158107757569,0.034030464990619604,0.08819079399108887,0.0058788905671412145,,,0.25,5,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.4418604651162791,0.46511627906976744,0.5238095238095238,0.5714285714285714,0.5476190476190477,0.5099667774086379,0.04906506736849551,369
1.201938009262085,0.037099288426987086,0.10481362342834473,0.004962696542063161,,,0.25,5,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 400}",0.4186046511627907,0.4883720930232558,0.5238095238095238,0.5476190476190477,0.5476190476190477,0.5052048726467332,0.048429326555247065,410
1.556291675567627,0.06872997862810669,0.13026275634765624,0.00522489317305002,,,0.25,5,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 500}",0.4186046511627907,0.4883720930232558,0.5238095238095238,0.5476190476190477,0.5238095238095238,0.5004429678848284,0.04507946422590568,428
0.24623346328735352,0.03206267892889977,0.05242609977722168,0.005287734779254684,,,0.25,8,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 100}",0.4186046511627907,0.4883720930232558,0.5476190476190477,0.5952380952380952,0.5238095238095238,0.5147286821705427,0.059296715837132856,328
0.5433832168579101,0.050286752061926905,0.06837053298950195,0.004446028214265808,,,0.25,8,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 200}",0.3953488372093023,0.5116279069767442,0.5476190476190477,0.6190476190476191,0.5476190476190477,0.5242524916943522,0.07328525134074265,269
0.8483320236206054,0.050910400334809015,0.08398199081420898,0.007050609615389548,,,0.25,8,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 300}",0.4186046511627907,0.4883720930232558,0.5476190476190477,0.5952380952380952,0.5476190476190477,0.5194905869324474,0.060772425186107405,298
1.091758918762207,0.073347887235934,0.10923099517822266,0.005040038945340665,,,0.25,8,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 400}",0.4186046511627907,0.46511627906976744,0.5714285714285714,0.5952380952380952,0.5714285714285714,0.5243632336655593,0.06949621204395198,262
